"date","precipitation","temp_max","temp_min","wind","weather"
"01-04-12",1.5,8.9,4.4,6.8,"rain"
"02-04-12",0,16.7,4.4,3.1,"sun"
"03-04-12",1.5,11.7,3.3,3.1,"rain"
"04-04-12",0,10.6,2.8,2.1,"sun"
"05-04-12",4.6,9.4,2.8,1.8,"snow"
"06-04-12",0.3,11.1,3.3,2.6,"rain"
"07-04-12",0,16.1,1.7,4.3,"sun"
"08-04-12",0,21.1,7.2,4.1,"sun"
"09-04-12",0,20,6.1,2.1,"sun"
"10-04-12",0,17.8,8.9,3.2,"rain"
"11-04-12",2.3,11.1,7.2,2.6,"rain"
"12-04-12",0.5,13.9,5.6,2.6,"rain"
"13-04-12",0,15,3.9,4,"drizzle"
"14-04-12",0,15.6,3.3,3,"sun"
"15-04-12",0,16.1,7.2,2.9,"rain"
"16-04-12",8.1,13.3,6.7,5.8,"rain"
"17-04-12",1.8,10,4.4,2,"rain"
"18-04-12",1.8,13.3,7.2,3.9,"rain"
"19-04-12",10.9,13.9,5,2.6,"rain"
"20-04-12",6.6,13.3,6.7,2.7,"rain"
"21-04-12",0,20,4.4,2.3,"sun"
"22-04-12",0,23.3,8.3,2.6,"rain"
"23-04-12",0,21.7,8.9,3.5,"sun"
"24-04-12",4.3,13.9,10,2.8,"rain"
"25-04-12",10.7,16.7,8.9,2.6,"rain"
"26-04-12",3.8,13.9,6.7,5.2,"rain"
"27-04-12",0.8,13.3,6.1,4.8,"rain"
"28-04-12",0,16.1,8.3,2.5,"drizzle"
"29-04-12",4.3,15.6,8.9,1.6,"rain"
"30-04-12",4.3,12.8,7.2,8,"rain"
"01-05-12",0.5,11.7,6.1,6.4,"rain"
"02-05-12",0.5,13.3,5.6,2.5,"rain"
"03-05-12",18.5,11.1,7.2,3.4,"rain"
"04-05-12",1.8,12.2,6.1,4.6,"rain"
"05-05-12",0,13.3,5,2.3,"sun"
"06-05-12",0,17.8,5,2.4,"sun"
"07-05-12",0,23.9,6.1,2.2,"sun"
"08-05-12",0,18.3,9.4,3,"sun"
"09-05-12",0,13.3,6.7,3.9,"rain"
"10-05-12",0,14.4,3.9,3,"sun"
"11-05-12",0,18.3,4.4,4.3,"sun"
"12-05-12",0,24.4,6.7,3.4,"sun"
"13-05-12",0,25.6,9.4,4.2,"sun"
"14-05-12",0,26.7,12.8,3.8,"sun"
"15-05-12",0,24.4,9.4,4.1,"drizzle"
"16-05-12",0,19.4,9.4,3.5,"sun"
"17-05-12",0,17.8,6.7,2.9,"rain"
"18-05-12",0,15.6,7.8,3.1,"rain"
"19-05-12",0,19.4,7.2,1.5,"sun"
"20-05-12",6.4,14.4,11.7,1.3,"rain"
"21-05-12",14,16.7,10,4,"rain"
"22-05-12",6.1,12.8,8.9,4.8,"rain"
"23-05-12",0.3,14.4,8.9,6.3,"rain"
"24-05-12",0,17.2,8.9,3.3,"rain"
"25-05-12",0,22.2,8.9,3.1,"rain"
"26-05-12",0,22.2,8.9,3.6,"sun"
"27-05-12",0,17.2,11.7,3.7,"sun"
"28-05-12",0,16.7,10,3.4,"rain"
"29-05-12",0,16.1,7.8,1.8,"sun"
"30-05-12",0.3,18.9,11.1,1.5,"rain"
"31-05-12",3.8,17.8,12.2,2.7,"rain"
"01-06-12",6.6,20,12.8,3.7,"rain"
"02-06-12",0.3,18.9,10.6,3.7,"rain"
"03-06-12",0,17.2,9.4,2.9,"sun"
"04-06-12",1.3,12.8,8.9,3.1,"rain"
"05-06-12",16,13.3,8.3,3.3,"rain"
"06-06-12",0,16.1,6.1,3.4,"sun"
"07-06-12",16.5,16.1,8.9,3.5,"rain"
"08-06-12",1.5,15,8.3,3,"rain"
"09-06-12",0,17.2,8.3,4.7,"rain"
"10-06-12",0,18.9,10,2.9,"sun"
"11-06-12",0,23.3,10,1.8,"rain"
"12-06-12",0.8,18.3,12.8,3.9,"rain"
"13-06-12",0,16.1,11.1,4.3,"sun"
"14-06-12",0,17.2,10,2.7,"sun"
"15-06-12",0,22.2,9.4,1.7,"sun"
"16-06-12",0,21.1,15,4.1,"rain"
"17-06-12",0,18.9,11.7,6.4,"sun"
"18-06-12",3,17.2,10,3.8,"rain"
"19-06-12",1,19.4,10,3,"rain"
"20-06-12",0,24.4,10,3,"sun"
"21-06-12",0,23.9,11.7,2.1,"sun"
"22-06-12",15.7,13.9,11.7,1.9,"rain"
"23-06-12",8.6,15.6,9.4,2.5,"rain"
"24-06-12",0,19.4,9.4,2,"drizzle"
"25-06-12",0.5,19.4,11.1,3.1,"rain"
"26-06-12",0,18.3,10.6,3.4,"rain"
"27-06-12",0,22.8,8.9,1.8,"sun"
"28-06-12",0,22.2,11.7,2.5,"rain"
"29-06-12",0.3,21.7,15,1.9,"rain"
"30-06-12",3,20,13.3,2.4,"rain"
"01-07-12",0,20,12.2,2.3,"rain"
"02-07-12",2,18.9,11.7,2.1,"rain"
"03-07-12",5.8,18.3,10.6,6,"rain"
"04-07-12",0,20.6,9.4,3.8,"sun"
"05-07-12",0,24.4,10.6,3.1,"drizzle"
"06-07-12",0,25,11.1,2.1,"sun"
"07-07-12",0,26.7,12.8,3.8,"sun"
"08-07-12",0,28.3,14.4,2.8,"rain"
"09-07-12",1.5,25,12.8,2,"rain"
"10-07-12",0,23.9,11.1,2.3,"drizzle"
"11-07-12",0,27.8,13.3,2.9,"fog"
"12-07-12",0,25.6,13.3,2.7,"drizzle"
"13-07-12",0.5,23.3,13.9,2.2,"rain"
"14-07-12",0,25,15,2.2,"rain"
"15-07-12",0,18.9,13.3,3.8,"rain"
"16-07-12",0.3,26.1,13.3,2.5,"rain"
"17-07-12",0,21.7,15,2.6,"sun"
"18-07-12",0,21.1,14.4,2.9,"sun"
"19-07-12",0,25,14.4,2.2,"sun"
"20-07-12",15.2,19.4,13.9,4,"rain"
"21-07-12",0,23.9,13.9,2.3,"sun"
"22-07-12",1,20.6,12.2,3.9,"rain"
"23-07-12",0,18.9,11.1,3.3,"rain"
"24-07-12",0,23.3,12.2,4.3,"sun"
"25-07-12",0,26.7,12.8,2.6,"sun"
"26-07-12",0,25.6,12.8,2.2,"drizzle"
"27-07-12",0,18.9,13.9,2.8,"drizzle"
"28-07-12",0,22.2,13.3,1.7,"drizzle"
"29-07-12",0,22.8,15,2,"sun"
"30-07-12",0,19.4,13.3,3,"sun"
"31-07-12",0,22.8,13.9,2.8,"sun"
"01-08-12",0,23.9,13.3,2.2,"drizzle"
"02-08-12",0,23.3,12.2,2.5,"sun"
"03-08-12",0,27.2,12.8,3.9,"sun"
"04-08-12",0,33.9,16.7,3.7,"sun"
"05-08-12",0,33.9,17.8,1.9,"sun"
"06-08-12",0,28.3,15.6,2.5,"rain"
"07-08-12",0,21.1,15,2.6,"drizzle"
"08-08-12",0,22.2,15,3.1,"sun"
"09-08-12",0,24.4,14.4,3.8,"drizzle"
"10-08-12",0,25.6,12.2,2.3,"sun"
"11-08-12",0,28.3,13.3,2.5,"sun"
"12-08-12",0,30.6,15,3,"sun"
"13-08-12",0,30.6,15,2.8,"sun"
"14-08-12",0,28.9,13.9,2.8,"sun"
"15-08-12",0,31.1,16.7,4.7,"sun"
"16-08-12",0,34.4,18.3,2.8,"sun"
"17-08-12",0,32.8,16.1,1.8,"sun"
"18-08-12",0,21.7,14.4,3,"drizzle"
"19-08-12",0,23.3,15,2.7,"drizzle"
"20-08-12",0,25.6,15,1.9,"sun"
"21-08-12",0,23.3,13.3,3,"rain"
"22-08-12",0,22.2,13.3,2.3,"sun"
"23-08-12",0,21.1,13.9,3.8,"sun"
"24-08-12",0,22.2,10,3.3,"sun"
"25-08-12",0,26.1,11.7,3.2,"sun"
"26-08-12",0,21.1,12.2,3.4,"sun"
"27-08-12",0,23.9,13.3,1.8,"sun"
"28-08-12",0,22.8,12.2,3.2,"sun"
"29-08-12",0,22.8,13.3,2.4,"sun"
"30-08-12",0,22.8,12.8,1.9,"sun"
"31-08-12",0,22.2,10.6,2.9,"sun"
"01-09-12",0,21.7,10.6,2.1,"sun"
"02-09-12",0,21.1,10,2,"sun"
"03-09-12",0,22.8,12.8,3.3,"sun"
"04-09-12",0,24.4,11.1,3.1,"sun"
"05-09-12",0,26.1,11.7,2.6,"sun"
"06-09-12",0,28.3,14.4,4.2,"sun"
"07-09-12",0,32.2,13.3,3.1,"sun"
"08-09-12",0,25,13.3,3,"sun"
"09-09-12",0.3,18.9,13.9,5,"rain"
"10-09-12",0.3,20,11.7,3.9,"rain"
"11-09-12",0,20,8.9,4.2,"sun"
"12-09-12",0,22.2,10,5.6,"sun"
"13-09-12",0,27.8,11.7,3.6,"sun"
"14-09-12",0,26.1,11.1,1.5,"sun"
"15-09-12",0,22.2,11.1,1.9,"sun"
"16-09-12",0,24.4,9.4,2.3,"sun"
"17-09-12",0,27.8,11.7,2.2,"fog"
"18-09-12",0,27.8,11.7,1.4,"sun"
"19-09-12",0,23.9,11.7,1.9,"drizzle"
"20-09-12",0,19.4,10,2.5,"drizzle"
"21-09-12",0,16.1,12.8,2.1,"drizzle"
"22-09-12",0.3,19.4,11.7,1.1,"rain"
"23-09-12",0,19.4,10,1.4,"fog"
"24-09-12",0,21.1,10,1.8,"fog"
"25-09-12",0,19.4,11.1,1.7,"sun"
"26-09-12",0,19.4,9.4,1.7,"drizzle"
"27-09-12",0,22.8,10,1.7,"drizzle"
"28-09-12",0,25,12.2,1.1,"rain"
"29-09-12",0,20.6,12.2,4.3,"sun"
"30-09-12",0,21.1,7.8,3.1,"sun"
"01-10-12",0,23.3,8.9,3,"sun"
"02-10-12",0,17.8,10,4.1,"sun"
"03-10-12",0,18.9,7.8,7.3,"sun"
"04-10-12",0,18.9,8.3,6.5,"sun"
"05-10-12",0,21.7,8.9,5.7,"sun"
"06-10-12",0,23.9,7.8,5.1,"sun"
"07-10-12",0,23.9,7.8,1.3,"sun"
"08-10-12",0,21.1,7.8,1.9,"sun"
"09-10-12",0,16.1,8.9,1.6,"drizzle"
"10-10-12",0,12.2,8.3,1.4,"drizzle"
"11-10-12",0,13.9,7.2,1.3,"drizzle"
"12-10-12",2,13.9,8.9,4.6,"rain"
"13-10-12",4.8,15.6,12.2,3.9,"rain"
"14-10-12",16.5,17.8,13.3,3.4,"rain"
"15-10-12",7.9,17.2,11.1,4.6,"rain"
"16-10-12",0,16.1,8.3,5.5,"sun"
"17-10-12",0,14.4,6.1,1.6,"sun"
"18-10-12",20.8,17.8,6.7,2,"rain"
"19-10-12",4.8,15,9.4,5.3,"rain"
"20-10-12",0.5,11.1,6.1,5.7,"rain"
"21-10-12",6.4,11.7,4.4,2.7,"rain"
"22-10-12",8.9,7.8,3.3,2.6,"rain"
"23-10-12",0,11.1,5.6,3,"rain"
"24-10-12",7.1,11.7,6.1,2.1,"rain"
"25-10-12",0,11.7,6.7,1.5,"sun"
"26-10-12",1.5,11.1,7.2,2.5,"rain"
"27-10-12",23.1,14.4,9.4,5.1,"rain"
"28-10-12",6.1,14.4,10,3.8,"rain"
"29-10-12",10.9,15.6,10,4.9,"rain"
"30-10-12",34.5,15,12.2,2.8,"rain"
"31-10-12",14.5,15.6,11.1,2.7,"rain"
"01-11-12",9.7,15,10.6,3,"rain"
"02-11-12",5.6,15,10.6,1,"rain"
"03-11-12",0.5,15.6,11.1,3.6,"rain"
"04-11-12",8.1,17.8,12.8,3.8,"rain"
"05-11-12",0.8,15,7.8,4,"rain"
"06-11-12",0.3,12.8,6.7,3.5,"rain"
"07-11-12",0,12.2,3.9,3.4,"rain"
"08-11-12",0,10,1.1,3.4,"rain"
"09-11-12",0,8.9,1.1,2,"rain"
"10-11-12",0,7.8,-0.6,2.2,"sun"
"11-11-12",15.2,8.9,1.1,3,"rain"
"12-11-12",3.6,12.8,6.1,3,"rain"
"13-11-12",5.3,11.1,7.8,2.5,"rain"
"14-11-12",0.8,11.1,5,2.6,"rain"
"15-11-12",0,9.4,2.8,2.4,"drizzle"
"16-11-12",5.6,9.4,2.2,1.6,"rain"
"17-11-12",6.1,12.2,6.1,5.3,"rain"
"18-11-12",7.9,10,6.1,4.9,"rain"
"19-11-12",54.1,13.3,8.3,6,"rain"
"20-11-12",3.8,11.1,7.2,4.2,"rain"
"21-11-12",11.2,8.3,3.9,5.5,"rain"
"22-11-12",0,8.9,2.8,1.5,"rain"
"23-11-12",32,9.4,6.1,2.4,"rain"
"24-11-12",0,8.9,3.9,1.2,"rain"
"25-11-12",0,8.3,1.1,3.6,"drizzle"
"26-11-12",0,9.4,1.7,3.8,"fog"
"27-11-12",0,10,1.7,1.5,"sun"
"28-11-12",2.8,9.4,2.2,2.9,"rain"
"29-11-12",1.5,12.8,7.8,4.2,"rain"
"30-11-12",35.6,15,7.8,4.6,"rain"
"01-12-12",4.1,13.3,8.3,5.5,"rain"
"02-12-12",19.6,8.3,7.2,6.2,"rain"
"03-12-12",13,9.4,7.2,4.4,"rain"
"04-12-12",14.2,11.7,7.2,6.2,"rain"
"05-12-12",1.5,8.9,4.4,5,"rain"
"06-12-12",1.5,7.2,6.1,5.1,"rain"
"07-12-12",1,7.8,3.3,4.6,"rain"
"08-12-12",0,6.7,3.3,2,"sun"
"09-12-12",1.5,6.7,2.8,2.1,"rain"
"10-12-12",0.5,7.2,5.6,1.8,"rain"
"11-12-12",3,7.8,5.6,4.5,"rain"
"12-12-12",8.1,6.7,4.4,2,"rain"
"13-12-12",2.3,7.2,3.3,2.8,"rain"
"14-12-12",7.9,6.1,1.1,1.7,"rain"
"15-12-12",5.3,4.4,0.6,5.1,"snow"
"16-12-12",22.6,6.7,3.3,5.5,"snow"
"17-12-12",2,8.3,1.7,9.5,"rain"
"18-12-12",3.3,3.9,0.6,5.3,"snow"
"19-12-12",13.7,8.3,1.7,5.8,"snow"
"20-12-12",13.2,7.2,0.6,3.7,"rain"
"21-12-12",1.8,8.3,-1.7,1.7,"rain"
"22-12-12",3.3,8.3,3.9,3.5,"rain"
"23-12-12",6.6,7.2,3.3,2.5,"rain"
"24-12-12",0.3,5.6,2.8,2.8,"rain"
"25-12-12",13.5,5.6,2.8,4.2,"snow"
"26-12-12",4.6,6.7,3.3,4.9,"rain"
"27-12-12",4.1,7.8,3.3,3.2,"rain"
"28-12-12",0,8.3,3.9,1.7,"rain"
"29-12-12",1.5,5,3.3,1.7,"rain"
"30-12-12",0,4.4,0,1.8,"drizzle"
"31-12-12",0,3.3,-1.1,2,"drizzle"
"01-01-13",0,5,-2.8,2.7,"sun"
"02-01-13",0,6.1,-1.1,3.2,"sun"
"03-01-13",4.1,6.7,-1.7,3,"rain"
"04-01-13",2.5,10,2.2,2.8,"rain"
"05-01-13",3,6.7,4.4,3.1,"rain"
"06-01-13",2,7.2,2.8,3,"rain"
"07-01-13",2.3,10,4.4,7.3,"rain"
"08-01-13",16.3,11.7,5.6,6.3,"rain"
"09-01-13",38.4,10,1.7,5.1,"rain"
"10-01-13",0.3,3.3,-0.6,2.1,"snow"
"11-01-13",0,2.8,-2.8,1.9,"drizzle"
"12-01-13",0,2.8,-3.9,2,"sun"
"13-01-13",0,2.2,-4.4,1.5,"sun"
"14-01-13",0,3.3,-2.2,1.3,"sun"
"15-01-13",0,6.7,-0.6,2.3,"sun"
"16-01-13",0,6.1,-3.9,1.8,"drizzle"
"17-01-13",0,3.9,-2.8,1,"drizzle"
"18-01-13",0,3.3,-1.1,1.3,"drizzle"
"19-01-13",0,1.1,-0.6,1.9,"drizzle"
"20-01-13",0,3.3,-0.6,2.1,"drizzle"
"21-01-13",0,2.2,-1.7,1.1,"drizzle"
"22-01-13",0,3.3,-1.7,0.6,"drizzle"
"23-01-13",5.1,7.2,2.2,3.1,"rain"
"24-01-13",5.8,7.2,1.1,2.6,"rain"
"25-01-13",3,10.6,2.8,2.1,"rain"
"26-01-13",2.3,8.3,3.9,4.5,"rain"
"27-01-13",1.8,5.6,3.9,4.5,"rain"
"28-01-13",7.9,6.1,3.3,3.2,"rain"
"29-01-13",4.3,8.3,5,3.9,"rain"
"30-01-13",3.6,8.9,6.7,3.9,"rain"
"31-01-13",3,9.4,7.2,4,"rain"
"01-02-13",0.3,11.7,5,2.9,"rain"
"02-02-13",0,6.1,2.8,2,"drizzle"
"03-02-13",2.3,8.9,2.8,2.9,"rain"
"04-02-13",0,10.6,6.7,2.6,"rain"
"05-02-13",3.3,10,6.7,5.1,"rain"
"06-02-13",1,10.6,6.1,4.5,"rain"
"07-02-13",1.3,9.4,3.3,4.1,"rain"
"08-02-13",0,7.8,2.2,1.3,"sun"
"09-02-13",0.3,8.3,4.4,1.3,"rain"
"10-02-13",0,8.9,1.7,2,"drizzle"
"11-02-13",0.3,8.3,4.4,1.4,"rain"
"12-02-13",1,11.1,7.2,5.6,"rain"
"13-02-13",2.3,9.4,7.2,4.1,"rain"
"14-02-13",1,9.4,5.6,2.2,"rain"
"15-02-13",0,13.3,5,2.4,"drizzle"
"16-02-13",0,11.1,3.9,5.6,"rain"
"17-02-13",0,9.4,4.4,3.4,"rain"
"18-02-13",0,7.8,3.9,1.9,"rain"
"19-02-13",0,10.6,1.7,3.4,"sun"
"20-02-13",1.5,7.8,1.1,2.1,"rain"
"21-02-13",0.5,6.7,3.9,6.2,"rain"
"22-02-13",9.4,7.8,3.9,8.1,"rain"
"23-02-13",0.3,10,3.9,4.6,"rain"
"24-02-13",0,8.9,5,5.5,"rain"
"25-02-13",2.3,10.6,3.3,7.1,"rain"
"26-02-13",0.5,8.9,3.9,3.8,"rain"
"27-02-13",4.6,10,4.4,1.8,"rain"
"28-02-13",8.1,11.7,6.7,3.8,"rain"
"01-03-13",4.1,15,11.1,5.4,"rain"
"02-03-13",0.8,13.9,5,4.5,"rain"
"03-03-13",0,11.1,2.2,2.8,"sun"
"04-03-13",0,13.3,0,3.9,"sun"
"05-03-13",0,9.4,6.1,2.4,"rain"
"06-03-13",11.9,7.2,5,4.1,"rain"
"07-03-13",7.4,12.2,5,2.5,"rain"
"08-03-13",0,11.7,2.2,2.6,"drizzle"
"09-03-13",0,12.8,1.1,1.3,"fog"
"10-03-13",0.8,7.8,3.9,1.6,"rain"
"11-03-13",1.3,10.6,6.1,1.1,"rain"
"12-03-13",2,12.8,10,5.7,"rain"
"13-03-13",2.3,11.7,9.4,3.7,"rain"
"14-03-13",2.8,11.7,9.4,3,"rain"
"15-03-13",0,14.4,8.9,4.3,"rain"
"16-03-13",4.3,10.6,4.4,6.4,"rain"
"17-03-13",0,8.9,3.9,6.1,"sun"
"18-03-13",0,11.7,3.9,5.9,"rain"
"19-03-13",11.7,12.8,1.7,3.4,"rain"
"20-03-13",9.9,11.1,4.4,7.6,"rain"
"21-03-13",8.1,10,2.2,4.9,"snow"
"22-03-13",0,9.4,0.6,2.2,"sun"
"23-03-13",0,10,1.1,2.6,"sun"
"24-03-13",0,12.2,0.6,2.1,"sun"
"25-03-13",0,16.7,4.4,2.8,"sun"
"26-03-13",0,16.7,6.1,1.7,"sun"
"27-03-13",0.3,13.3,7.2,1.6,"rain"
"28-03-13",2,16.1,8.3,1.3,"rain"
"29-03-13",0,18.3,7.8,2.5,"rain"
"30-03-13",0,20,5.6,4.4,"drizzle"
"31-03-13",0,20.6,6.7,2.9,"sun"
"01-04-13",0,17.2,8.3,3.6,"sun"
"02-04-13",0,13.9,8.9,2.2,"sun"
"03-04-13",0,16.7,7.8,1.6,"sun"
"04-04-13",8.4,14.4,10,3,"rain"
"05-04-13",18.5,13.9,10,5.6,"rain"
"06-04-13",12.7,12.2,7.2,5,"rain"
"07-04-13",39.1,8.3,5,3.9,"rain"
"08-04-13",0.8,13.3,6.1,3.1,"rain"
"09-04-13",0,12.2,6.1,2.4,"sun"
"10-04-13",9.4,15,8.9,6.4,"rain"
"11-04-13",1.5,12.2,6.7,3.8,"rain"
"12-04-13",9.7,7.8,4.4,4.6,"rain"
"13-04-13",9.4,10.6,3.3,5.7,"rain"
"14-04-13",5.8,12.8,4.4,2.3,"rain"
"15-04-13",0,13.9,4.4,2.4,"fog"
"16-04-13",0.3,13.9,3.3,2.6,"rain"
"17-04-13",0,15,3.9,3.3,"drizzle"
"18-04-13",5.3,11.7,6.7,4,"rain"
"19-04-13",20.6,13.3,9.4,4.9,"rain"
"20-04-13",0,13.9,8.3,5.8,"sun"
"21-04-13",3.3,12.2,6.7,4.1,"rain"
"22-04-13",0,16.1,5,4.3,"sun"
"23-04-13",0,17.8,3.9,2.8,"sun"
"24-04-13",0,21.1,6.1,3,"sun"
"25-04-13",0,21.7,6.7,1.1,"sun"
"26-04-13",0,20.6,8.3,2.2,"fog"
"27-04-13",0,13.9,10.6,5.9,"sun"
"28-04-13",1,15,9.4,5.2,"rain"
"29-04-13",3.8,13.9,6.7,4.2,"rain"
"30-04-13",0,12.8,4.4,2.4,"sun"
"01-05-13",0,18.3,3.3,3.1,"sun"
"02-05-13",0,20.6,6.7,4,"sun"
"03-05-13",0,21.7,9.4,4.9,"sun"
"04-05-13",0,25,11.1,6.5,"sun"
"05-05-13",0,28.9,11.7,5.3,"sun"
"06-05-13",0,30.6,12.2,2,"sun"
"07-05-13",0,20.6,11.1,3.3,"sun"
"08-05-13",0,19.4,11.1,1.9,"sun"
"09-05-13",0,22.8,10,1.3,"sun"
"10-05-13",0,26.1,9.4,1,"sun"
"11-05-13",0,27.2,12.2,2.6,"sun"
"12-05-13",6.6,21.7,13.9,3.9,"rain"
"13-05-13",3.3,18.9,9.4,5,"rain"
"14-05-13",0,18.3,7.8,2.4,"sun"
"15-05-13",1,17.2,8.9,2.3,"rain"
"16-05-13",0,21.7,12.2,2.7,"fog"
"17-05-13",0.5,17.2,11.7,3.7,"rain"
"18-05-13",0,16.7,11.1,2.9,"sun"
"19-05-13",0,18.3,10.6,2.3,"sun"
"20-05-13",0,19.4,9.4,1.8,"sun"
"21-05-13",13.7,15.6,8.3,4.8,"rain"
"22-05-13",13.7,11.1,7.2,3,"rain"
"23-05-13",4.1,12.2,6.7,1.9,"rain"
"24-05-13",0.3,16.7,8.9,2.7,"rain"
"25-05-13",0,17.8,10,2.7,"sun"
"26-05-13",1.5,18.3,10.6,2.2,"rain"
"27-05-13",9.7,16.7,11.1,3.1,"rain"
"28-05-13",0.5,17.2,11.7,2.8,"rain"
"29-05-13",5.6,16.1,9.4,4,"rain"
"30-05-13",0,16.7,9.4,5.3,"sun"
"31-05-13",0,19.4,11.1,2.5,"sun"
"01-06-13",0,22.8,12.2,2.5,"sun"
"02-06-13",1,20.6,12.2,3.1,"rain"
"03-06-13",0,22.2,11.1,2.9,"sun"
"04-06-13",0,26.1,12.2,3.4,"sun"
"05-06-13",0,26.7,14.4,3.1,"sun"
"06-06-13",0,26.7,12.2,2.5,"sun"
"07-06-13",0,21.7,13.3,3.2,"sun"
"08-06-13",0,20.6,12.8,3.1,"sun"
"09-06-13",0,20.6,11.1,3.7,"sun"
"10-06-13",0,21.7,11.7,3.2,"sun"
"11-06-13",0,20,10,5.7,"sun"
"12-06-13",0.3,20.6,11.7,4.2,"rain"
"13-06-13",0,21.1,11.7,2.6,"sun"
"14-06-13",0,20,12.2,3.7,"sun"
"15-06-13",0,25.6,10,2.9,"sun"
"16-06-13",0,23.9,12.8,3.4,"sun"
"17-06-13",0,25.6,13.9,3,"sun"
"18-06-13",0.3,23.3,13.3,3.4,"rain"
"19-06-13",0,20,12.8,3.7,"sun"
"20-06-13",3,17.2,12.8,5,"rain"
"21-06-13",0.3,20.6,12.2,1.5,"rain"
"22-06-13",0,25.6,11.7,1.7,"sun"
"23-06-13",7.9,22.2,15,2.1,"rain"
"24-06-13",4.8,21.1,13.9,3.7,"rain"
"25-06-13",9.9,23.3,14.4,2.8,"rain"
"26-06-13",2,22.2,15,2.3,"rain"
"27-06-13",3.6,21.1,16.7,1.3,"rain"
"28-06-13",0,30.6,16.1,2.2,"sun"
"29-06-13",0,30,18.3,1.7,"sun"
"30-06-13",0,33.9,17.2,2.5,"sun"
"01-07-13",0,31.7,18.3,2.3,"sun"
"02-07-13",0,28.3,15.6,3,"sun"
"03-07-13",0,26.1,16.7,3.2,"sun"
